Code,Title,Description
3362,Motor Vehicle Body and Trailer Manufacturing,"This industry comprises establishments primarily engaged in (1) manufacturing motor vehicle bodies and cabs or (2) manufacturing truck, automobile and utility trailers, truck trailer chassis, detachable trailer bodies, and detachable trailer chassis.  The products made may be sold separately or may be assembled on purchased chassis and sold as complete vehicles.  Motor homes are units where the motor and the living quarters are contained in the same integrated unit, while travel trailers are designed to be towed by a motor unit, such as an automobile or a light truck.

Illustrative Examples:

Bodies and cabs, truck, manufacturing
Camper units, slide-in, for pick-up trucks, manufacturing
Pick-up canopies, caps, or covers manufacturing
Motor homes, self-contained, assembling on purchased chassis
Semi-trailers manufacturing
Travel trailers, recreational, manufacturing


Cross-References. Establishments primarily engaged in--"
3363,Motor Vehicle Parts Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing motor vehicle gasoline engines and engine parts, motor vehicle electrical and electronic equipment, motor vehicle steering and suspension components (except springs), motor vehicle brake systems, motor vehicle transmission and power train parts, motor vehicle seating and interior trim, motor vehicle metal stampings, and other motor vehicle parts and accessories.  This industry group includes establishments that rebuild motor vehicle parts.
"
3364,Aerospace Product and Parts Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing complete aircraft, missiles, or space vehicles; (2) manufacturing aerospace engines, propulsion units, auxiliary equipment, or parts; (3) developing and making prototypes of aerospace products; (4) aircraft conversion (i.e., major modifications to systems); and (5) complete aircraft or propulsion systems overhaul and rebuilding (i.e., periodic restoration of aircraft to original design specifications).

Cross-References."
3365,Railroad Rolling Stock Manufacturing,See industry description for 336510.
3366,Ship and Boat Building,"This industry comprises establishments primarily engaged in operating shipyards or boat yards (i.e., ship or boat manufacturing facilities).  Shipyards are fixed facilities with drydocks and fabrication equipment capable of building a ship, defined as watercraft typically suitable or intended for other than personal or recreational use.  Boats are defined as watercraft typically suitable or intended for personal use.  Activities of shipyards include the construction of ships, their repair, conversion and alteration, production of prefabricated ship and barge sections, and specialized services, such as ship scaling.

Illustrative Examples:

Barge building
Boat yards (i.e., boat manufacturing facilities)
Cargo ship building
Drilling and production platforms, floating, oil and gas, building
Passenger ship building
Inflatable plastic boats, heavy-duty, manufacturing
Inflatable rubber boats, heavy-duty, manufacturing
Rigid inflatable boats (RIBs) manufacturing
Boats (e.g., motorboats, rowboats, canoes, kayaks) manufacturing 


Cross-References. Establishments primarily engaged in--"
3369,Other Transportation Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motorcycles, bicycles, metal tricycles, complete military armored vehicles, tanks, self-propelled weapons, vehicles pulled by draft animals, and other transportation equipment (except motor vehicles, boats, ships, railroad rolling stock, and aerospace products), including parts thereof.

Cross-References. Establishments primarily engaged in--"
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,"This industry group comprises establishments manufacturing household-type furniture, such as living room, kitchen and bedroom furniture and institutional (i.e., public building) furniture, such as furniture for schools, theaters, and churches.
"
3372,Office Furniture (including Fixtures) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing office furniture and/or office and store fixtures.  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
3379,Other Furniture Related Product Manufacturing,"This industry group comprises establishments manufacturing furniture related products, such as mattresses, blinds, and shades.
"
3391,Medical Equipment and Supplies Manufacturing,"This industry comprises establishments primarily engaged in manufacturing medical equipment and supplies.  Examples of products made by these establishments are surgical and medical instruments, surgical appliances and supplies, dental equipment and supplies, orthodontic goods, ophthalmic goods, dentures, and orthodontic appliances.

Cross-References. Establishments primarily engaged in--"
3399,Other Miscellaneous Manufacturing,"This industry group comprises establishments primarily engaged in miscellaneous manufacturing, such as jewelry and silverware manufacturing, sporting and athletic goods manufacturing, doll, toy, and game manufacturing, office supplies (except paper) manufacturing, sign manufacturing, and all other miscellaneous manufacturing.
"
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of automobiles and other motor vehicles, motor vehicle supplies, tires, and new and used parts.
"
4232,Furniture and Home Furnishing Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables), home furnishings, and/or housewares.
"
4233,Lumber and Other Construction Materials Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of lumber, plywood, millwork, and wood panels; brick, stone, and related construction materials; roofing, siding, and insulation materials; and other construction materials, including manufactured homes (i.e., mobile homes) and/or prefabricated buildings.
"
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies; office, computer, and computer peripheral equipment; and medical, dental, hospital, ophthalmic, and other commercial and professional equipment and supplies.
"
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of products of the primary metals industries (including metal service centers) and coal, coke, metal ores, and/or nonmetallic minerals (except precious and semiprecious stones and minerals used in construction).
"
4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of electrical apparatus and equipment, wiring supplies, and related equipment; household appliances, electric housewares, and consumer electronics; and other electronic parts and equipment.
"
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of hardware; plumbing and heating equipment and supplies (hydronics); warm air heating and air-conditioning equipment and supplies; and refrigeration equipment and supplies.
"
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of construction, mining, farm, garden, industrial, service establishment, and transportation machinery, equipment, and supplies.
"
4239,Miscellaneous Durable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of sporting, recreational, toy, hobby, and jewelry goods and supplies, and precious stones and metals.
"
4241,Paper and Paper Product Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of bulk printing and writing paper; stationery and office supplies; and industrial and personal service paper. 
"
4242,Drugs and Druggists' Sundries Merchant Wholesalers,See industry description for 424210.
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of piece goods, notions, and other dry goods; footwear; and clothing and clothing accessories.
"
4244,Grocery and Related Product Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of (1) a general line of groceries; (2) packaged frozen food; (3) dairy products; (4) poultry and poultry products; (5) confectioneries; (6) fish and seafood; (7) meats and meat products; (8) fresh fruits and vegetables; and (9) other grocery and related products.
"
4245,Farm Product Raw Material Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of agricultural products (except raw milk, live poultry, and fresh fruits and vegetables), such as grains, field beans, livestock, and other farm product raw materials (excluding seeds).
"
4246,Chemical and Allied Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of chemicals, plastics materials and basic forms and shapes, and allied products.
"
4247,Petroleum and Petroleum Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of petroleum and petroleum products, including liquefied petroleum gas.
"
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of beer, ale, wine, and/or distilled alcoholic beverages.
"
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of nondurable goods, such as farm supplies; books, periodicals, and newspapers; flowers; nursery stock; paints; varnishes; tobacco and tobacco products; and other miscellaneous nondurable goods, such as cut Christmas trees and pet supplies.
"
4251,Wholesale Trade Agents and Brokers,See industry description for 425120.
4411,Automobile Dealers,"This industry group comprises establishments primarily engaged in retailing new and used automobiles and light trucks, such as sport utility vehicles, and passenger and cargo vans.
"
4412,Other Motor Vehicle Dealers,"This industry group comprises establishments primarily engaged in retailing new and used vehicles (except automobiles, light trucks, such as sport utility vehicles, and passenger and cargo vans).
"
4413,"Automotive Parts, Accessories, and Tire Retailers","This industry group comprises establishments primarily engaged in retailing new, used, and/or rebuilt automotive parts and accessories, including tires and tubes.  Included in this industry group are establishments primarily engaged in retailing automotive parts and accessories in combination with automotive repair services.
"
4441,Building Material and Supplies Dealers,This industry group comprises establishments primarily engaged in retailing new building materials and supplies.
4442,Lawn and Garden Equipment and Supplies Retailers,"This industry group comprises establishments primarily engaged in retailing new lawn and garden equipment and supplies.
"
4451,Grocery and Convenience Retailers,"This industry group comprises establishments primarily engaged in retailing a general line of food products. This industry group also includes vending machine operators.
"
4452,Specialty Food Retailers,"This industry group comprises establishments primarily engaged in retailing specialized lines of food not for immediate consumption.
"
4453,"Beer, Wine, and Liquor Retailers",See industry description for 445320.
4491,Furniture and Home Furnishings Retailers,"This industry group comprises establishments primarily engaged in retailing new furniture and home furnishings.  Establishments in this industry group with fixed point-of-sale locations may operate from showrooms and have substantial areas for the presentation of their products.  Establishments in this industry group may provide incidental services, including interior decorating, product assembly, installation, or repair services.
"
4492,Electronics and Appliance Retailers,See industry description for 449210.
4551,Department Stores,See industry description for 455110.
4552,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers","This industry comprises establishments primarily engaged in retailing new general merchandise (except department stores).  These establishments retail a general line of new merchandise, such as apparel, automotive parts, dry goods, hardware, groceries, housewares, and home furnishings, with no one merchandise line predominating.  Establishments generally known as warehouse clubs, superstores, or supercenters, and retailing a general line of merchandise in combination with a significant amount and variety of perishable groceries, are included in this industry.  This industry also includes establishments primarily engaged in retailing a general line of new and used merchandise on an auction basis.

Illustrative Examples:

Dollar stores
General merchandise (new and used) auction houses
General merchandise showrooms
General merchandise trading posts
General stores
Home and auto supply stores
Superstores (i.e., food and general merchandise)
Variety stores
Warehouse clubs (i.e., food and general merchandise)  


Cross-References. Establishments primarily engaged in--"
4561,Health and Personal Care Retailers,See industry description for 456110.
4571,Gasoline Stations,"This industry group comprises establishments primarily engaged in retailing automotive fuels (e.g., gasoline, diesel fuel, gasohol, alternative fuels) and automotive oils or retailing these products in combination with convenience store items.  These establishments have specialized equipment for storing and dispensing automotive fuels.
"
4572,Fuel Dealers,See industry description for 457210.
4581,Clothing and Clothing Accessories Retailers,See industry description for 458110.
4582,Shoe Retailers,See industry description for 458210.
4583,"Jewelry, Luggage, and Leather Goods Retailers","This industry group comprises establishments primarily engaged in retailing new jewelry (except costume jewelry); new sterling and plated silverware; new watches and clocks; and new luggage with or without a general line of new leather goods and accessories, such as hats, gloves, handbags, ties, and belts.
"
4591,"Sporting Goods, Hobby, and Musical Instrument Retailers","This industry group comprises establishments primarily engaged in retailing new sporting goods, toys, games, hobby supplies, sewing supplies, needlework accessories, and musical instruments.
"
4592,Book Retailers and News Dealers,See industry description for 459210.
4593,Florists,See industry description for 459310.
4594,"Office Supplies, Stationery, and Gift Retailers","This industry group comprises establishments primarily engaged in retailing new office supplies, stationery, gifts, novelty merchandise, and souvenirs.
"
4595,Used Merchandise Retailers,See industry description for 459510.
4599,Other Miscellaneous Retailers,"This industry group comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandise (except motor vehicle and parts dealers; building material and garden equipment and supplies dealers; food and beverage retailers; furniture, home furnishings, electronics, and appliance retailers; general merchandise retailers; health and personal care retailers; gasoline stations and fuel dealers; clothing, clothing accessories, shoe, and jewelry retailers; sporting goods, hobby, and musical instrument retailers; book retailers and news dealers; florists; office supplies, stationery, and gift retailers; and used merchandise retailers).
"
4811,Scheduled Air Transportation,"This industry comprises establishments primarily engaged in providing air transportation of passengers and/or cargo over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Establishments primarily engaged in providing scheduled air transportation of mail on a contract basis are included in this industry.

Illustrative Examples:

Air commuter carriers, scheduled
Scheduled air passenger carriers
Scheduled air cargo carriers (except air couriers)
Scheduled helicopter passenger carriers 


Cross-References. Establishments primarily engaged in--"
4812,Nonscheduled Air Transportation,"This industry comprises establishments primarily engaged in (1) providing air transportation of passengers and/or cargo with no regular routes and regular schedules or (2) providing specialty flying services with no regular routes and regular schedules using general purpose aircraft.  These establishments have more flexibility with respect to choice of airports, hours of operation, load factors, and similar operational characteristics.

Illustrative Examples:

Air taxi services
Nonscheduled air freight transportation services
Aircraft charter services
Nonscheduled air passenger transportation services


Cross-References. Establishments primarily engaged in--"
4821,Rail Transportation,"This industry comprises establishments primarily engaged in operating railroads (except street railroads, commuter rail, urban rapid transit, and scenic and sightseeing trains).  Line-haul railroads and short-line railroads are included in this industry.

Cross-References. Establishments primarily engaged in--"
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation","This industry comprises establishments primarily engaged in providing deep sea, coastal, Great Lakes, and St. Lawrence Seaway water transportation.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System.

Cross-References. Establishments primarily engaged in--"
4832,Inland Water Transportation,"This industry comprises establishments primarily engaged in providing inland water transportation of passengers and/or cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System).

Cross-References. Establishments primarily engaged in--"
4841,General Freight Trucking,"This industry group comprises establishments primarily engaged in providing general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized, and transported in a container or van trailer.  The establishments of this industry group provide a combination of the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery.
"
4842,Specialized Freight Trucking,"This industry group comprises establishments primarily engaged in providing local or long-distance specialized freight trucking.  The establishments of this industry are primarily engaged in the transportation of freight which, because of size, weight, shape, or other inherent characteristics, requires specialized equipment, such as flatbeds, tankers, or refrigerated trailers.  This industry includes the transportation of used household, institutional, and commercial furniture and equipment.
"
4851,Urban Transit Systems,"This industry comprises establishments primarily engaged in operating local and suburban passenger transit systems over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.  Such transportation systems involve the use of one or more modes of transport including light rail, commuter rail, subways, and streetcars, as well as buses and other motor vehicles.

Cross-References. Establishments primarily engaged in--"
4852,Interurban and Rural Bus Transportation,See industry description for 485210.
4853,Taxi and Limousine Service,"This industry group comprises establishments primarily engaged in providing passenger transportation by automobile or van or providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.
"
4854,School and Employee Bus Transportation,See industry description for 485410.
4855,Charter Bus Industry,See industry description for 485510.
4859,Other Transit and Ground Passenger Transportation,"This industry comprises establishments primarily engaged in providing other transit and ground passenger transportation (except urban transit systems, interurban and rural bus transportation, taxi and ridesharing services, school and employee bus transportation, charter bus services, and limousine services (except shuttle services)).  Shuttle services (except school and employee bus) and special needs transportation services are included in this industry.  Shuttle services establishments generally travel within a metropolitan area and its adjacent nonurban areas on regular routes, on regular schedules and provide services between hotels, airports, or other destination points.  Establishments in the Special Needs Transportation industry provide passenger transportation for the disabled or elderly.  These establishments may use specially equipped vehicles to provide passenger transportation.

Cross-References. Establishments primarily engaged in--"
4861,Pipeline Transportation of Crude Oil,See industry description for 486110.
4862,Pipeline Transportation of Natural Gas,See industry description for 486210.
4869,Other Pipeline Transportation,"This industry group comprises establishments primarily engaged in the pipeline transportation of products (except crude oil and natural gas).
"
4871,"Scenic and Sightseeing Transportation, Land",See industry description for 487110.
4872,"Scenic and Sightseeing Transportation, Water",See industry description for 487210.
4879,"Scenic and Sightseeing Transportation, Other",See industry description for 487990.
4881,Support Activities for Air Transportation,"This industry group comprises establishments primarily engaged in providing services to the air transportation industry.  These services include airport operation, servicing, repairing (except factory conversion and overhaul of aircraft), maintaining and storing aircraft, and ferrying aircraft.
"
4882,Support Activities for Rail Transportation,See industry description for 488210.
4883,Support Activities for Water Transportation,"This industry group comprises establishments primarily engaged in one of the following: (1) operating ports, harbors (including docking and pier facilities), or canals; (2) providing stevedoring and other marine cargo handling services (except warehousing); (3) providing navigational services to shipping; or (4) providing other services to water transportation.
"
4884,Support Activities for Road Transportation,"This industry group comprises establishments primarily engaged in (1) towing light or heavy motor vehicles, both local and long-distance, or (2) providing other services to road network users.
"
4885,Freight Transportation Arrangement,See industry description for 488510.
4889,Other Support Activities for Transportation,"This industry comprises establishments primarily engaged in providing support activities to transportation (except for air transportation; rail transportation; water transportation; road transportation; and freight transportation arrangement).

Illustrative Examples:

Arrangement of vanpools or car pools (except ridesharing arrangement services)
Independent pipeline terminal facilities 
Stockyards (i.e., not for fattening or selling livestock)


Cross-References. Establishments primarily engaged in--"
4911,Postal Service,See industry description for 491110.
4921,Couriers and Express Delivery Services,See industry description for 492110.
4922,Local Messengers and Local Delivery,See industry description for 492210.
4931,Warehousing and Storage,See industry description for 493110.
5121,Motion Picture and Video Industries,"This industry group comprises establishments primarily engaged in the production and/or distribution of motion pictures, videos, television programs, or commercials; in the exhibition of motion pictures; or in the provision of postproduction and related services.
"
5122,Sound Recording Industries,"This industry group comprises establishments primarily engaged in producing and distributing musical recordings, publishing music, or providing sound recording and related services.
"
5131,"Newspaper, Periodical, Book, and Directory Publishers","This industry group comprises establishments primarily engaged in publishing newspapers, magazines, other periodicals, books, directories and mailing lists, and other works, such as calendars, greeting cards, and maps.  These works are characterized by the intellectual creativity required in their development and are usually protected by copyright.  Publishers distribute or arrange for the distribution of these works.

Publishing establishments may create the works in-house, or contract for, purchase, or compile works that were originally created by others.  These works may be published in one or more formats, such as print and/or electronic form, including proprietary electronic networks or exclusively on the Internet.  Establishments in this industry may print, reproduce, or offer direct access to the works themselves or may arrange with others to carry out such functions.

Establishments that both print and publish may fill excess capacity with commercial or job printing.  However, the publishing activity is still considered to be the primary activity of these establishments.
"
5132,Software Publishers,See industry description for 513210.
5161,Radio and Television Broadcasting Stations,"This industry group comprises establishments operating radio or television broadcasting stations for the programming and transmission of programs to the public.  Programming may originate in their own studio, from an affiliated network, or from external sources.
"
5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",See industry description for 516210.
5171,Wired and Wireless Telecommunications (except Satellite),"This industry group comprises establishments primarily engaged in (1) operating transmission facilities and infrastructure that they own and/or lease, and providing telecommunications services using wired and wireless telecommunications networks; (2) reselling wired and wireless telecommunications services (except satellite); and (3) acting as agents for wireless telecommunications services.
"
5174,Satellite Telecommunications,See industry description for 517410.
5178,All Other Telecommunications,See industry description for 517810.
5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",See industry description for 518210.
5192,"Web Search Portals, Libraries, Archives, and Other Information Services",See industry description for 519210.
5211,Monetary Authorities-Central Bank,See industry description for 521110.
5221,Depository Credit Intermediation,"This industry group comprises establishments primarily engaged in accepting deposits (or share deposits) and in lending funds from these deposits.  Within this group, industries are defined on the basis of differences in the types of deposit liabilities assumed and in the nature of the credit extended.
"
5222,Nondepository Credit Intermediation,"This industry group comprises establishments, both public (government-sponsored enterprises) and private, primarily engaged in extending credit or lending funds raised by credit market borrowing, such as issuing commercial paper or other debt instruments or by borrowing from other financial intermediaries.  Within this group, industries are defined on the basis of the type of credit being extended.
"
5223,Activities Related to Credit Intermediation,"This industry group comprises establishments primarily engaged in facilitating credit intermediation by performing activities, such as arranging loans by bringing borrowers and lenders together and clearing checks and credit card transactions.
"
5231,Securities and Commodity Contracts Intermediation and Brokerage,"This industry group comprises establishments primarily engaged in putting capital at risk in the process of underwriting securities issues or in making markets for securities and commodities; and those acting as agents and/or brokers between buyers and sellers of securities and commodities, usually charging a commission.
"
5232,Securities and Commodity Exchanges,See industry description for 523210.
5239,Other Financial Investment Activities,"This industry group comprises establishments primarily engaged in one of the following: (1) acting as principals in buying or selling financial contracts (except investment bankers, securities dealers, and commodity contracts dealers); (2) acting as agents (i.e., brokers) (except securities brokerages and commodity contracts brokerages) in buying or selling financial contracts; or (3) providing other investment services (except securities and commodity exchanges), such as portfolio management; investment advice; and trust, fiduciary, and custody services.
"
5241,Insurance Carriers,"This industry group comprises establishments primarily engaged in underwriting (assuming the risk, assigning premiums, and so forth) annuities and insurance policies and investing premiums to build up a portfolio of financial assets to be used against future claims.  Direct insurance carriers are establishments that are primarily engaged in initially underwriting and assuming the risk of annuities and insurance policies.  Reinsurance carriers are establishments that are primarily engaged in assuming all or part of the risk associated with an existing insurance policy (or set of policies) originally underwritten by another insurance carrier.

Industries are defined in terms of the type of risk being insured against, such as death, loss of employment because of age or disability, and/or property damage.  Contributions and premiums are set on the basis of actuarial calculations of probable payouts based on risk factors from experience tables and expected investment returns on reserves.
"
5242,"Agencies, Brokerages, and Other Insurance Related Activities","This industry group comprises establishments primarily engaged in (1) acting as agents (i.e., brokers) in selling annuities and insurance policies or (2) providing other employee benefits and insurance related services, such as claims adjustment and third party administration.
"
5251,Insurance and Employee Benefit Funds,"This industry group comprises legal entities (i.e., funds, plans, and/or programs) organized to provide insurance and employee benefits exclusively for the sponsor, firm, or its employees or members.
"
5259,Other Investment Pools and Funds,"This industry group comprises legal entities (i.e., investment pools and/or funds) organized to pool securities or other assets (except insurance and employee benefit funds) on behalf of shareholders, unitholders, or beneficiaries.
"
5311,Lessors of Real Estate,"This industry group comprises establishments primarily engaged in acting as lessors of (1) residential buildings and dwellings; (2) nonresidential buildings (except miniwarehouses); (3) miniwarehouses and self-storage units; and (4) other real estate property.  This industry group includes equity real estate investment trusts (REITs) primarily engaged in leasing buildings, dwellings, or other real estate property to others.
"
5312,Offices of Real Estate Agents and Brokers,See industry description for 531210.
5313,Activities Related to Real Estate,"This industry group comprises establishments primarily engaged in providing real estate services (except lessors of real estate and offices of real estate agents and brokers).  Included in this industry group are establishments primarily engaged in managing real estate for others and appraising real estate.
"
5321,Automotive Equipment Rental and Leasing,"This industry group comprises establishments primarily engaged in renting or leasing passenger cars and trucks without drivers and utility trailers.  These establishments generally operate from a retail-like facility.  Some establishments offer only short-term rental, others only longer-term leases, and some provide both types of services.
"
5322,Consumer Goods Rental,"This industry group comprises establishments primarily engaged in renting personal and household-type goods.  Establishments classified in this industry group generally provide short-term rental although in some instances, the goods may be leased for longer periods of time.  These establishments often operate from a retail-like or storefront facility.
"
5323,General Rental Centers,See industry description for 532310.
5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,"This industry group comprises establishments primarily engaged in renting or leasing commercial-type and industrial-type machinery and equipment.  Establishments included in this industry group are generally involved in providing capital or investment-type equipment that clients use in their business operations.  These establishments typically cater to a business clientele and do not generally operate a retail-like or storefront facility.
"
5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),See industry description for 533110.
5411,Legal Services,"This industry group comprises establishments primarily engaged in offering legal services, such as those offered by offices of lawyers, offices of notaries, and title abstract and settlement offices, and paralegal services. 
"
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services","This industry comprises establishments primarily engaged in providing services, such as auditing of accounting records, designing accounting systems, preparing financial statements, developing budgets, preparing tax returns, processing payrolls, bookkeeping, and billing.

Illustrative Examples:

Accountants' offices
Payroll processing services
Bookkeeping services
Tax return preparation services


Cross-References. Establishments primarily engaged in--"
5413,"Architectural, Engineering, and Related Services","This industry group comprises establishments primarily engaged in architectural, engineering, and related services, such as drafting services, building inspection services, geophysical surveying and mapping services, surveying and mapping (except geophysical) services, and testing services.
"
5414,Specialized Design Services,"This industry group comprises establishments providing specialized design services (except architectural, engineering, and computer systems design).
"
5415,Computer Systems Design and Related Services,"This industry comprises establishments primarily engaged in providing expertise in the field of information technologies through one or more of the following activities: (1) writing, modifying, testing, and supporting software to meet the needs of a particular customer; (2) planning and designing computer systems that integrate computer hardware, software, and communication technologies; (3) on-site management and operation of clients' computer systems and/or data processing facilities; and (4) other professional and technical computer related advice and services.

Illustrative Examples:

Computer facilities management services
Custom computer programming services
Computer systems integration design services
Computer hardware or software consulting services
Software installation services


Cross-References. Establishments primarily engaged in--"
5416,"Management, Scientific, and Technical Consulting Services","This industry group comprises establishments primarily engaged in providing advice and assistance to businesses and other organizations on management, environmental, scientific, and technical issues.
"
5417,Scientific Research and Development Services,"This industry group comprises establishments engaged in conducting original investigation undertaken on a systematic basis to gain new knowledge (research) and/or the application of research findings or other scientific knowledge for the creation of new or significantly improved products or processes (experimental development).  Techniques may include modeling and simulation.  The industries within this industry group are defined on the basis of the domain of research; that is, on the scientific expertise of the establishment.
"
5418,"Advertising, Public Relations, and Related Services","This industry group comprises establishments primarily engaged in advertising, public relations, and related services, such as media buying, independent media representation, indoor and outdoor display advertising, direct mail advertising, advertising material distribution services, and other services related to advertising.
"
5419,"Other Professional, Scientific, and Technical Services","This industry group comprises establishments engaged in professional, scientific, and technical services (except legal services; accounting, tax preparation, bookkeeping, and related services; architectural, engineering, and related services; specialized design services; computer systems design and related services; management, scientific, and technical consulting services; scientific research and development services; and advertising, public relations, and related services).
"
5511,Management of Companies and Enterprises,"This industry comprises (1) establishments primarily engaged in holding the securities of (or other equity interests in) companies and enterprises for the purpose of owning a controlling interest or influencing management decisions or (2) establishments (except government establishments) that administer, oversee, and manage other establishments of the company or enterprise and that normally undertake the strategic or organizational planning and decision-making role of the company or enterprise.  Establishments that administer, oversee, and manage may hold the securities of the company or enterprise.

Cross-References."
5611,Office Administrative Services,See industry description for 561110.
5612,Facilities Support Services,See industry description for 561210.
5613,Employment Services,"This industry group comprises establishments primarily engaged in one of the following: (1) listing employment vacancies and referring or placing applicants for employment; (2) providing executive search, recruitment, and placement services; (3) supplying workers to clients' businesses for limited periods of time to supplement the working force of the client; or (4) providing human resources and human resource management services to client businesses and households.
"
5614,Business Support Services,"This industry group comprises establishments engaged in performing activities that are ongoing routine business support functions for clients on a contract or fee basis, or serving other establishments of the same enterprise.
"
5615,Travel Arrangement and Reservation Services,"This industry group comprises establishments primarily engaged in one of the following: (1) travel agency services; (2) arranging and assembling tours; or (3) other travel arrangement and reservation services.
"
5616,Investigation and Security Services,"This industry group comprises establishments primarily engaged in one of the following: (1) investigation, guard, and armored car services; (2) selling security systems, such as burglar and fire alarms and locking devices, along with installation, repair, or monitoring services; or (3) remote monitoring of electronic security alarm systems.
"
5617,Services to Buildings and Dwellings,"This industry group comprises establishments primarily engaged in one of the following: (1) exterminating and pest control services; (2) janitorial services; (3) landscaping services; (4) carpet and upholstery cleaning services; or (5) other services to buildings and dwellings.
"
5619,Other Support Services,"This industry group comprises establishments primarily engaged in providing day-to-day business and other organizational support services (except office administrative services; facilities support services; employment services; business support services; travel arrangement and reservation services; security and investigation services; and services to buildings and dwellings).
"
5621,Waste Collection,"This industry comprises establishments primarily engaged in (1) collecting and/or hauling hazardous waste, nonhazardous waste, and/or recyclable materials within a local area and/or (2) operating hazardous or nonhazardous waste transfer stations.  Hazardous waste collection establishments may be responsible for the identification, treatment, packaging, and labeling of waste for the purposes of transport.

Cross-References. Establishments primarily engaged in--"
5622,Waste Treatment and Disposal,"This industry comprises establishments primarily engaged in (1) operating waste treatment or disposal facilities (except sewer systems or sewage treatment facilities) or (2) the combined activity of collecting and/or hauling of waste materials within a local area and operating waste treatment or disposal facilities.  Waste combustors or incinerators (including those that may produce byproducts, such as electricity), solid waste landfills, and compost dumps are included in this industry.

Cross-References. Establishments primarily engaged in--"
5629,Remediation and Other Waste Management Services,"This industry group comprises establishments primarily engaged in remediation and other waste management services (except waste collection, waste treatment and disposal, and waste management consulting services).
"
6111,Elementary and Secondary Schools,See industry description for 611110.
6112,Junior Colleges,See industry description for 611210.
6113,"Colleges, Universities, and Professional Schools",See industry description for 611310.
6114,Business Schools and Computer and Management Training,"This industry group comprises establishments primarily engaged in one of the following: (1) offering courses in office procedures and secretarial and stenographic skills and may offer courses in basic office skills, such as word processing; (2) conducting computer training (except computer repair); or (3) offering an array of short duration courses and seminars for management and professional development.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.
"
